ticker,name,aliases,context_terms,negative_terms,flag_terms,country,industry,ambiguous,status,note,verified,kind,required_terms
MLD AU Equity,Thiess (formerly MACA),Thiess|MACA Limited|MACA Ltd,mining|contractor|coal|Australia|ASX|Australian,,,Australia,Mining Contractor,no,acquired,"MACA acquired by Thiess, control Oct 2022; Thiess is privately held so news flow is thinner than a listed name.",2026-08-24,company,
YAL AU Equity,Yancoal Australia,Yancoal|Yancoal Australia,coal|mining|Australia|ASX|Australian,,,Australia,Coal Mining,no,active,,,company,
MYE AU Equity,Mastermyne Group,Mastermyne|Metarock|Metarock Group,coal|mining|Australia|ASX|Australian,,,Australia,Mining Contractor,no,active,"Renamed Metarock in 2022, reverted to Mastermyne Nov 2024; both names kept as aliases.",2026-08-24,company,
WAF AU Equity,West African Resources,West African Resources|Sanbrado|Kiaka,gold|mining|Burkina Faso|Australia|ASX|Australian,,,Australia,Gold Mining,no,active,,,company,
KAR AU Equity,Karoon Energy,Karoon Energy|Karoon Gas|~Karoon,oil|gas|energy|Brazil|Bauna|Australia|ASX|Australian,Karun River|Karoon River|Khuzestan,Iran,Australia,Oil and Gas,yes,active,'Karoon' also names a river and province in Iran; context required.,,company,
XAM AU Equity,Xanadu Mines,Xanadu Mines|~Xanadu|Kharmagtai,copper|gold|Mongolia|mining|Australia|ASX|Australian,Kubla Khan|Coleridge|Citizen Kane|Olivia Newton-John|Xanadu Resort|Xanadu Beach,,Australia,Copper and Gold Mining,yes,active,"Appeared twice in the July 2022 sheet, tagged gold in one row and copper in the other; merged here.",,company,
BSX AU Equity,Blackstone Minerals,Blackstone Minerals,nickel|Ta Khoa|Vietnam|mining|Australia|ASX|Australian,Blackstone Inc|Blackstone Group|Schwarzman|Blackstone Real Estate|Blackstone Credit|Blackstone Griffin,private equity|buyout|real estate fund,Australia,Nickel Mining,no,active,"Collides with Blackstone Inc, the private-equity firm.",,company,
SIH AU Equity,Sihayo Gold,Sihayo Gold|Sihayo Pungkut|Sihayo,gold|mining|Indonesia|Sumatra|Australia|ASX|Australian,,,Australia,Gold Mining,no,active,,,company,
SXE AU Equity,Southern Cross Electrical Engineering,Southern Cross Electrical|Southern Cross Electrical Engineering|SCEE Group,electrical|contractor|infrastructure|Australia|ASX|Australian,Southern Cross Austereo|Southern Cross University|Southern Cross Station|Southern Cross Media|Southern Cross Care|Southern Cross Cable|Southern Cross Health|Southern Cross Airport,,Australia,Mining Contractor,no,active,"'Southern Cross' collides with a broadcaster, a university and a Melbourne station.",,company,
SMR AU Equity,Stanmore Resources,Stanmore Resources|Stanmore Coal|~Stanmore,coal|mining|Queensland|Bowen|Australia|ASX|Australian,Stanmore station|Stanmore tube|Jubilee line|Stanmore Middlesex|Harrow|Stanmore Road|Stanmore Hill|Stanmore Bay,London,Australia,Coal Mining,yes,active,Row had no symbol in the July 2022 sheet; ASX code SMR assigned here. 'Stanmore' is also a London suburb and Tube station.,,company,
